Pozisyon,Kategori,Alan,Soru,Cevap
Frontend,Teknik Yetenekler,React,"React nedir?","2011 yılında Facebook tarafından geliştirilen React, web ve mobil kullanıcı arayüzleri oluşturmaya yönelik bir JavaScript kütüphanesidir. React, geliştiricilerin yeniden kullanılabilir UI bileşenleri oluşturmasına olanak tanır. Büyük bir React topluluğu da bulunur."
Frontend,Teknik Yetenekler,React,"React ne işe yarar?","React, web uygulamalarında kullanıcı arayüzlerinin oluşturulması, güncellenmesi ve yönetilmesi için kullanılır. React, bileşen tabanlı bir yaklaşım kullanır. Yani uygulama içindeki her bir parçayı tek tek ele alır ve bu parçaların değişikliklerine dinamik olarak reaksiyon gösterir. Bu sayede, kullanıcı arayüzleri daha hızlı ve verimli bir şekilde oluşturulur."
Frontend,Teknik Yetenekler,React,"React bileşenleri nedir?","React kullanarak oluşturulan kullanıcı arayüzünün parçalarına React bileşenleri denir. Bileşenler şunları yapar: Bir kullanıcı arayüzünü yeniden kullanılabilir parçalara ayırır. Kod tekrarını önler. Kodun anlaşılmasını kolaylaştırır. Zamandan ve çabadan tasarruf sağlar. Arayüzün test edilmesini kolaylaştırır."
Frontend,Teknik Yetenekler,React,"React’de işlevsel bileşen ve sınıf bileşeni nedir?","React’de sınıf bileşenleri ve işlevsel bileşenler olmak üzere iki tür bileşen vardır.1.İşlevsel bileşenler:en temel React bileşeni türüdür. Görüntü için çalışır ve veri alma veya görüntüleme işlemi için Props’u kullanır. Basit ve hızlıdırlar.2.Sınıf bileşenleri:geliştiricilerin bileşen yaşam döngüsü yöntemlerini ve bir bileşenin durumunu yönetmesine izin veren karmaşık React bileşenleridir. Gelişmiş özelliklere sahip olup daha kompleks işlemler için kullanılır. Her iki bileşen türü de React'de kullanılır. Bileşenin ihtiyaçlarına göre seçim yapılır."
Frontend,Teknik Yetenekler,React,"ReactJs Event Handling nedir?","ReactJs Event Handling, bir UI düğmesine tıklamak, bir UI nesnesinin üzerine fareyi getirmek, UI ile klavye komutlarını kullanmak gibi olayların yönetimi için kullanılan bir özelliktir. Bir kullanıcının React JavaScript kütüphanesinde UI ögesine etki ettiği zaman oluşan olayların yönetmeyi sağlar."
Frontend,Teknik Yetenekler,React,"JSX nedir?","JSX, JavaScript'te HTML stil kodu yazmaya izin veren HTML benzeri bir syntax’tır.React ile web siteleri veya uygulamalar oluşturmak için JSX kullanılmasına gerek yoktur. Ancak, JSX kullanmak kod karmaşıklığını azaltır. JSX, React uygulamalarının performansını artırır. JSX, HTML gibi görünen nesne tanımlamalarına izin verir."
Frontend,Teknik Yetenekler,React,"Tarayıcılar JSX’i neden okuyamıyor?","Mevcut tarayıcılar sadece JavaScript nesnelerini okuyabilir. Tarayıcının JSX’i okumasını sağlamak için JSX dosyasını Babel gibi JSX dönüştürücüler kullanarak bir JavaScript nesnesine dönüştürülür. Daha sonra nesneler tarayıcıda okunabilir."
Frontend,Teknik Yetenekler,React,"React Sanal DOM nedir?","React Sanal DOM, React tarafından kullanılan ve gerçek DOM (Belge Nesne Modeli) yerine kullanılan bir yapıdır. Sanal DOM, gerçek DOM'un bir kopyasıdır ve React tarafından kullanılan UI ögelerinin modellenmesini sağlar."
Frontend,Teknik Yetenekler,React,"React Sanal DOM nasıl çalışır?","Web tarayıcıları sitenin veya uygulamanın nasıl düzenlendiğini gösteren Belge Nesne Modeli (DOM) adında bir yapı oluştururlar. React, sitenin gerçek DOM'unun bir kopyası olan Sanal DOM kullanır. React, sanal DOM’u kullanarak gerçek DOM'un hangi bölümlerinin değişmesi gerektiğini belirler. Değişiklikleri Sanal DOM'dan alır ve gerçek DOM'u buna göre günceller."
Frontend,Teknik Yetenekler,React,"Gerçek DOM ile Sanal DOM arasındaki farklar nelerdir?","Gerçek DOM: Yavaş güncellenir.Gerçek DOM, direkt olarak HTML elementlerini değiştirir.Bellek tüketimi fazladır.Sanal DOM: Hızlı güncellenir.HTML'yi doğrudan güncellemez.Bellek tüketimi daha azdır."
